"id","booking_id","space_id"
"1","1","1"
"2","2","3"
"3","3","4"
"4","4","7"
"5","5","8"
"6","6","2"
"7","7","5"
"8","8","6"
"9","9","9"
"10","10","10"
"11","11","11"
"12","12","12"
"13","13","33"
"14","14","31"
"15","15","19"
"16","16","46"
"17","17","47"
"18","18","13"
"19","19","16"
"20","20","24"
"21","21","27"
"22","22","50"
"23","23","51"
"24","24","18"
"25","25","14"
"26","26","35"
"27","27","32"
"28","28","17"
"29","29","15"
"30","30","20"
"31","31","25"
"32","32","21"
"33","33","22"
"34","34","23"
"35","35","26"
"36","36","48"
"37","37","34"
"38","38","49"
"39","39","36"
"40","40","50"
