"id","booking_id","bill_date","items_json","total_amount","remarks","sl_no","event_session_id"
"1","4","2025-10-05 07:12:12","""[{\""id\"":128,\""name\"":\""5 AMP Plug Point\"",\""quantity\"":1},{\""id\"":121,\""name\"":\""LED / CFL-Minimum (up to 40 Watts)\"",\""quantity\"":1}]""","3800","","470","1"
"2","6","2025-10-05 07:12:49","""[{\""id\"":108,\""name\"":\""LED / CFL-Minimum (up to 40 Watts)\"",\""quantity\"":4}]""","3200","",,"1"
"4","16","2025-10-09 14:57:44","""[{\""id\"":134,\""name\"":\""LED / CFL-Minimum (up to 40 Watts)\"",\""quantity\"":1},{\""id\"":141,\""name\"":\""5 AMP Plug Point\"",\""quantity\"":1}]""","3800","","472","1"
"5","3","2025-10-09 14:58:06","""[{\""id\"":134,\""name\"":\""LED / CFL-Minimum (up to 40 Watts)\"",\""quantity\"":3}]""","2400","","473","1"
"6","2","2025-10-09 14:58:47","""[{\""id\"":134,\""name\"":\""LED / CFL-Minimum (up to 40 Watts)\"",\""quantity\"":3}]""","2400","","473","1"
"7","35","2025-10-09 14:59:13","""[{\""id\"":141,\""name\"":\""5 AMP Plug Point\"",\""quantity\"":1}]""","3000","","475","1"
"8","26","2025-10-09 15:00:10","""[{\""id\"":135,\""name\"":\""LED / CFL-40 -100 watts\"",\""quantity\"":2},{\""id\"":142,\""name\"":\""Motor 1 HP\"",\""quantity\"":1}]""","8600","","476","1"
"9","15","2025-10-09 15:00:30","""[{\""id\"":134,\""name\"":\""LED / CFL-Minimum (up to 40 Watts)\"",\""quantity\"":6}]""","4800","","477","1"
"10","1","2025-10-09 15:00:52","""[{\""id\"":134,\""name\"":\""LED / CFL-Minimum (up to 40 Watts)\"",\""quantity\"":4}]""","3200","","478","1"
"11","7","2025-10-09 15:01:24","""[{\""id\"":134,\""name\"":\""LED / CFL-Minimum (up to 40 Watts)\"",\""quantity\"":4}]""","3200","","479","1"
"12","8","2025-10-09 15:01:54","[{""id"":""379"",""name"":""Series 2 (60-100)"",""quantity"":1,""service_charge"":5500,""fitting_charge"":0,""total"":5500}]","5500","","480","1"
"13","5","2025-10-09 15:02:21","""[{\""id\"":134,\""name\"":\""LED / CFL-Minimum (up to 40 Watts)\"",\""quantity\"":2}]""","1600","","481","1"
"14","9","2025-10-09 15:03:13","""[{\""id\"":135,\""name\"":\""LED / CFL-40 -100 watts\"",\""quantity\"":1}]""","1300","","482","1"
"15","10","2025-10-09 15:03:34","""[{\""id\"":135,\""name\"":\""LED / CFL-40 -100 watts\"",\""quantity\"":1}]""","1300","","483","1"
"16","11","2025-10-09 15:04:01","""[{\""id\"":135,\""name\"":\""LED / CFL-40 -100 watts\"",\""quantity\"":2}]""","2600","","484","1"
"17","12","2025-10-09 15:04:31","""[{\""id\"":135,\""name\"":\""LED / CFL-40 -100 watts\"",\""quantity\"":1}]""","1300","","485","1"
"18","18","2025-10-09 15:05:10","""[{\""id\"":134,\""name\"":\""LED / CFL-Minimum (up to 40 Watts)\"",\""quantity\"":4}]""","3200","","486","1"
"19","25","2025-10-09 15:06:38","""[{\""id\"":134,\""name\"":\""LED / CFL-Minimum (up to 40 Watts)\"",\""quantity\"":1}]""","800","","487","1"
"20","29","2025-10-09 15:07:00","""[{\""id\"":134,\""name\"":\""LED / CFL-Minimum (up to 40 Watts)\"",\""quantity\"":6}]""","4800","","488","1"
"21","28","2025-10-09 15:07:22","""[{\""id\"":135,\""name\"":\""LED / CFL-40 -100 watts\"",\""quantity\"":1}]""","1300","","489","1"
"22","30","2025-10-09 15:08:08","""[{\""id\"":135,\""name\"":\""LED / CFL-40 -100 watts\"",\""quantity\"":3}]""","3900","","490","1"
"23","32","2025-10-09 15:08:42","""[{\""id\"":135,\""name\"":\""LED / CFL-40 -100 watts\"",\""quantity\"":1}]""","1300","","491","1"
"24","33","2025-10-09 15:09:11","""[{\""id\"":134,\""name\"":\""LED / CFL-Minimum (up to 40 Watts)\"",\""quantity\"":2}]""","1600","","492","1"
"25","34","2025-10-09 15:09:33","""[{\""id\"":135,\""name\"":\""LED / CFL-40 -100 watts\"",\""quantity\"":2}]""","2600","","493","1"
"26","31","2025-10-09 15:10:20","""[{\""id\"":135,\""name\"":\""LED / CFL-40 -100 watts\"",\""quantity\"":1}]""","1300","","494","1"
"28","14","2025-10-09 15:12:37","""[{\""id\"":135,\""name\"":\""LED / CFL-40 -100 watts\"",\""quantity\"":5},{\""id\"":141,\""name\"":\""5 AMP Plug Point\"",\""quantity\"":1}]""","9500","","498","1"
"30","21","2025-10-10 04:00:20","""[{\""id\"":134,\""name\"":\""LED / CFL-Minimum (up to 40 Watts)\"",\""quantity\"":1}]""","800","","352","1"
"31","38","2025-10-10 04:06:27","""[{\""id\"":135,\""name\"":\""LED / CFL-40 -100 watts\"",\""quantity\"":7},{\""id\"":141,\""name\"":\""5 AMP Plug Point\"",\""quantity\"":1}]""","12100","","497","1"
"32","37","2025-10-10 04:07:28","""[{\""id\"":134,\""name\"":\""LED / CFL-Minimum (up to 40 Watts)\"",\""quantity\"":8},{\""id\"":142,\""name\"":\""Motor 1 HP\"",\""quantity\"":2}]""","18400","","500","1"
"33","8","2025-10-15 05:33:51","[{""id"":""368"",""name"":""LED / CFL-Minimum (up to 40 Watts)"",""quantity"":3,""service_charge"":800,""fitting_charge"":0,""total"":2400}]","2400","","","1"
