"id","name","service_charge","fitting_charge"
"953","LED / CFL-Minimum (up to 40 Watts)","800","0"
"954","LED / CFL-40 -100 watts","1300","0"
"955","Tube 40 watts","750","250"
"956","Tube 40 watts full night period","2200","0"
"957","Bulbs 25–100 watts","1050","250"
"958","Bulbs 200 watts","2100","300"
"959","Flood Light 500 watts","4300","0"
"960","5 AMP Plug Point","3000","0"
"961","Motor 1 HP","6000","0"
"962","Fan (Connection Only)","2300","0"
"963","Series 1 (24-60)","4200","0"
"964","Series 2 (60-100)","5500","0"
"965","Mercury 200 watts","2300","0"
