"id","client_id","stall_number","camp","plywood_free","table_free","chair_free","rod_free","plywood_paid","table_paid","chair_paid","table_numbers","chair_numbers","total_payable","advance_paid","balance_due","notes","issue_date","sl_no","event_session_id"
"1","2","P3","Akshayanagar","0","1","2","0","0","4","0","196-164-9-101-128","190","2400","0","2400","","2025-10-05",,"1"
"2","3","P4","","0","1","2","0","0","1","0","55-NN","501-324","600","0","600","","2025-10-05",,"1"
"3","11","P11","Akshayanagar","0","1","2","0","0","1","0","15-118","321-811","600","0","600","","2025-10-05",,"1"
"4","12","P12","Akshayanagar","0","2","2","0","0","0","0","175-283","174-476","0","0","0","","2025-10-05",,"1"
"5","7","P5","Akshayanagar","0","2","2","0","0","0","0","238-243","458-346","0","0","0","","2025-10-05",,"1"
"6","1","P1","Akshayanagar","0","2","2","0","0","3","0","104-181-151-226-NN","267-306","1800","0","1800","","2025-10-05","","1"
"7","18","P13","Akshayanagar","0","2","2","0","0","0","0","143-186","186-13","0","0","0","","2025-10-05",,"1"
"8","16","S9 - Special","Akshayanagar","0","1","2","0","0","0","0","68","188-442","0","0","0","","2025-10-05",,"1"
"9","24","P18","Akshayanagar","0","0","0","0","0","0","0","","","0","0","0","Please Check O-3","2025-10-05","","1"
"10","4","P7","Akshayanagar","0","2","0","0","0","0","0","159-20","","0","0","0","","2025-10-05","","1"
"11","14","O1","Akshaya Nagar","0","0","2","0","0","0","0","","403-330","0","0","0","","2025-10-05","","1"
"12","10","P10","Akshaya Nagar","0","2","2","0","0","5","0","161-73-155-104-80-345-257","301-379","3000","0","3000","","2025-10-05",,"1"
"13","5","P8","Akshaya Nagar","0","1","2","0","0","1","0","205-242","280-134","600","0","600","","2025-10-05",,"1"
"14","21","S8","Akshaya Nagar","0","1","2","0","0","2","0","258-186-169","201-277","1200","0","1200","","2025-10-05",,"1"
"15","20","S5","Akshaya Nagar","0","1","2","0","0","0","0","229","345-61","0","0","0","","2025-10-05",,"1"
"16","40","S-13","Akshaya Nagar","0","1","2","0","0","3","0","215-195-248-NN","303-352","1800","0","1800","","2025-10-05","","1"
"17","23","S14 - Special","","0","1","1","0","0","1","0","207-113","22","600","0","600","","2025-10-05","","1"
"18","19","P16","Akshaya Nagar","0","2","2","0","0","1","1","124-41-NN","351-240-214","700","0","700","","2025-10-05",,"1"
"19","25","P14","","0","2","2","0","0","3","0","176-200-10-221-NN","189-62","1800","0","1800","","2025-10-10","","1"
"20","32","S2","","0","1","2","0","0","0","0","260","254","0","0","0","","2025-10-10","","1"
"21","33","S3","","0","1","2","0","0","1","0","145-66","341-67","600","0","600","","2025-10-10","","1"
"22","30","S1","","0","1","2","0","0","3","0","87-71-140-NN","","1800","0","1800","","2025-10-10","","1"
"23","9","P9","","0","1","2","0","0","2","0","28-151-224","193-221","1200","0","1200","","2025-10-10","","1"
"24","34","S4","Akshaya Nagar","0","1","2","0","0","2","0","213-145-182","263-20","1200","0","1200","","2025-10-10","","1"
"25","35","S7","Akshaya Nagar","0","1","2","0","0","1","0","170-112","274-107","600","0","600","","2025-10-10","","1"
"26","36","S11 - Special","Akshaya Nagar","0","0","2","0","0","0","1","","153-85-444","100","0","100","","2025-10-10","","1"
"27","38","S12 - Special",,"0","0","3","0","0","0","0","","38-125-56","100",,,"","2025-10-10","","1"
"28","31","S6","Akshaya Nagar","0","1","2","0","0","0","0","252","02-14","0","0","0","","2025-10-10","","1"
"30","27","O2","Akshaya Nagar","0","1","1","0","0","2","0","81-47-NN","292","1200","0","1200","","2025-10-10","","1"
"31","13","O-03","Akshaya Nagar","0","1","2","0","0","3","0","262-185-240-168","465-365","1800","0","1800","","1970-01-01","","1"
"32","39","","Akshaya Nagar","0","0","2","0","0","0","0","","338-08","","0","","",,"","1"
