"id","booking_id","receipt_number","payment_date","rent_paid","electric_paid","material_paid","shed_paid","temp_receipt_number","payment_mode","cash_paid","upi_paid","event_session_id","remarks"
"1","1","871","2025-09-28","5000","0","0","0",,"Cash & UPI","3000","2000","1",
"2","1","927","2025-10-06","20000","0","0","0",,"UPI","0","20000","1",
"3","1","","2025-10-01","0","2100","0","0",,"Cash","2100","0","1",
"4","1","","2025-10-08","0","1100","0","0",,"Cash","1100","0","1",
"5","6","873","2025-09-28","5000","0","0","0",,"UPI","0","5000","1",
"6","6","896","2025-10-05","15000","0","0","0",,"Cash & UPI","13000","2000","1",
"7","6","","2025-10-01","0","1000","0","0",,"Cash","1000","0","1",
"8","6","","2025-10-08","0","2200","0","0",,"Cash","2200","0","1",
"9","2","865","2025-09-28","7000","0","0","0",,"Cash","7000","0","1",
"10","2","896","2025-10-05","15000","0","0","0",,"Cash & UPI","13000","2000","1",
"11","2","","2025-10-01","0","2400","0","0",,"Cash","2400","0","1",
"12","3","882","2025-09-28","5000","0","0","0",,"Cash & UPI","2000","3000","1",
"13","3","911","2025-10-05","15000","0","0","0",,"Cash & UPI","13000","2000","1",
"14","3","","2025-10-01","0","1200","0","0",,"Cash","1200","0","1",
"15","3","","2025-10-08","0","1200","0","0",,"Cash","1200","0","1",
"16","7","886","2025-09-28","5000","0","0","0",,"Cash","5000","0","1",
"17","7","921","2025-10-05","20000","0","0","0","","Cash","20000","0","1",
"18","7","","2025-10-01","0","2000","0","0",,"Cash","2000","0","1",
"19","7","","2025-10-08","0","1200","0","0",,"Cash","1200","0","1",
"20","8","869","2025-09-28","8000","0","0","0",,"Cash & UPI","3000","5000","1",
"21","8","903","2025-10-05","30000","0","0","0","","Cash & UPI","8000","22000","1",
"22","8","","2025-10-01","0","1500","0","0",,"Cash","1500","0","1",
"23","4","872","2025-09-28","6000","0","0","0",,"Cash","6000","0","1",
"24","4","895","2025-10-05","20000","0","0","0",,"Cash","20000","0","1",
"25","4","","2025-10-01","0","2000","0","0",,"Cash","2000","0","1",
"26","4","","2025-10-08","0","1800","0","0",,"Cash","1800","0","1",
"27","5","880","2025-09-28","5000","0","0","0",,"Cash","5000","0","1",
"28","5","910","2025-10-05","15000","0","0","0","","Cash","15000","0","1",
"29","9","888","2025-09-28","5000","0","0","0",,"Cash","5000","0","1",
"30","9","924","2025-10-05","10000","0","0","0",,"Cash & UPI","7000","3000","1",
"31","10","884","2025-09-28","5000","0","0","0",,"Cash & UPI","4000","1000","1",
"32","10","922","2025-10-05","20000","0","0","0",,"UPI","0","20000","1",
"33","10","","2025-10-01","0","1300","0","0",,"Cash","1300","0","1",
"34","11","875","2025-09-28","5000","0","0","0",,"Cash & UPI","3000","2000","1",
"35","11","912","2025-10-05","15000","0","0","0","","Cash & UPI","10000","5000","1",
"36","11","","2025-10-01","0","2000","0","0",,"Cash","2000","0","1",
"37","11","","2025-10-08","0","600","0","0",,"Cash","600","0","1",
"38","12","866","2025-09-28","6000","0","0","0",,"Cash & UPI","3000","3000","1",
"39","12","904","2025-10-05","20000","0","0","0",,"Cash & UPI","9000","11000","1",
"40","12","","2025-10-01","0","1300","0","0",,"Cash","1300","0","1",
"41","18","868","2025-09-28","5000","0","0","0",,"Cash","5000","0","1",
"42","18","906","2025-10-05","20000","0","0","0",,"Cash & UPI","15000","5000","1",
