"id","name","is_active","rate"
"1","DASHING CAR","1","100"
"2","GAINT WEEL","1","100"
"3","MERRY COLUMBUS","1","100"
"4","FRIS BEE","1","100"
"5","AIR SHOOT","1","100"
"6","SPACE JET","1","100"
"7","TORA TORA","1","100"
"8","DRAGON TRAIN","1","100"
"9","BREAK DANCE","1","100"
"10","OCTOPUS","1","50"
"11","HORSE MGR","1","50"
"12","JUMPING JACK","1","50"
"13","CHILDREN RIDES","1","50"
"14","SCARY 3D SHOW","1","50"
"15","DHOOM CAR","1","50"
"16","BOUNCY","1","50"
"17","Entrance-01","1","100"
"18","Entrance-02","1","100"
"19","Entrance-03","1","100"
"20","Entrance-04","1","100"
